Date,Price,Open,High,Low,Vol.,Change %,day
"Jun 01, 2021",36672.60,37305.00,37624.80,35928.00,5.29K,-0.02,79.00
"May 31, 2021",37305.00,35615.00,37305.00,34527.00,5.98K,0.05,78.00
"May 30, 2021",35615.00,34570.00,36138.00,33680.00,6.02K,0.03,77.00
"May 29, 2021",34570.00,35667.00,36910.50,33681.00,7.76K,-0.03,76.00
"May 28, 2021",35667.00,38484.70,38484.70,35028.00,10.22K,-0.07,75.00
"May 27, 2021",38435.00,39301.00,40120.00,37381.00,5.55K,-0.02,74.00
"May 26, 2021",39301.00,38363.00,40497.80,38020.20,8.61K,0.02,73.00
"May 25, 2021",38363.00,38772.90,39761.00,36760.50,7.77K,-0.01,72.00
"May 24, 2021",38772.90,34730.30,39201.00,34730.30,15.13K,0.12,71.00
"May 23, 2021",34730.30,37585.00,38186.00,32623.00,25.99K,-0.08,70.00
"May 22, 2021",37585.00,37415.00,38662.00,36150.00,13.56K,0.00,69.00
"May 21, 2021",37415.00,40550.10,41500.00,35188.00,23.31K,-0.08,68.00
"May 20, 2021",40578.00,36755.00,41827.00,35198.40,25.60K,0.10,67.00
"May 19, 2021",36755.00,42935.00,42935.00,35303.40,67.82K,-0.14,66.00
"May 18, 2021",42935.00,43544.00,45474.00,42611.80,10.72K,-0.01,65.00
"May 17, 2021",43544.00,46569.00,46569.00,42304.00,37.72K,-0.07,64.00
"May 16, 2021",46582.90,46784.90,49460.00,45340.00,19.06K,0.00,63.00
"May 15, 2021",46784.90,49917.00,50526.20,46784.90,9.49K,-0.06,62.00
"May 14, 2021",49917.00,49747.00,51168.00,49289.00,6.05K,0.00,61.00
"May 13, 2021",49747.00,49725.00,51154.00,48120.60,21.16K,0.00,60.00
"May 12, 2021",49725.00,56715.00,57688.00,49725.00,14.96K,-0.12,59.00
"May 11, 2021",56715.00,55851.00,56724.00,54789.00,7.69K,0.02,58.00
"May 10, 2021",55851.00,58276.00,59454.30,55448.00,13.49K,-0.04,57.00
"May 09, 2021",58276.00,58894.00,58956.50,56977.00,8.48K,-0.01,56.00
